mpi-sph - Intel(R) Xeon(R) CPU E5-2603 v4 @ 1.70GHz - 12core
p;t1;t2;t3;t4;t5;WCT_AVG
1;37,395031;37,385321;37,384479;37,392039;37,320380;37,375450
2;18,692234;18,714452;18,706539;18,691891;19,111615;18,783346
3;12,493406;12,476584;12,482934;12,474679;13,241724;12,633865
4;9,371980;9,362074;9,361659;9,375563;9,371053;9,368466
5;7,503698;7,752962;7,620895;8,499999;7,624187;7,800348
6;6,267350;6,261100;6,262687;6,260197;6,431245;6,296516
7;5,378425;5,377998;5,375225;5,378461;5,379999;5,378022
8;4,718799;4,840049;4,709646;4,709573;4,710633;4,737740
9;4,203184;4,198893;4,360778;4,612614;4,199720;4,315038
10;4,055831;3,805254;3,784895;3,789699;3,818051;3,850746
11;3,560146;3,668053;3,504986;3,471631;3,500360;3,541035
12;4,070140;4,146059;3,743712;3,649670;4,036920;3,929300
